식당명,평점,카테고리
성심당본점,4.6 (240명),"빵,튀김소보로"
태평소국밥본점,4.6 (91명),"국밥,육사시미"
성심당 케익부띠끄대전,4.8 (103명),"케이크,딸기"
성심당대전역점,4.5 (94명),"빵,튀김소보로"
성심당DCC점,4.5 (103명),"빵,딸기"
태평소국밥봉명점,4.4 (74명),"국밥,육사시미"
오씨칼국수본점,4.5 (86명),"칼국수,조개"
땡큐베리머치대전,4.7 (66명),"케이크,카페"
태평소국밥대전,4.6 (58명),"국밥,육사시미"
김화칼국수대전,4.5 (53명),"칼국수,수육"
진로집대전,4.4 (67명),"두부두루치기,수육"
성심당롯데백화점대전점,4.6 (57명),"빵,딸기"
떡반집본점,4.6 (39명),"떡볶이,토스트"
동은성대전,4.8 (22명),냄비짬뽕
온천칼국수대전,4.4 (38명),"칼국수,쭈꾸미"
오문창 순대국밥대전,4.3 (57명),"국밥,순대국밥"
대선칼국수본점,4.2 (55명),"칼국수,수육"
토미야대전,4.6 (37명),"우동,붓카케우동"
희락반점대전,4.4 (13명),"짜장면,유니짜장"
오씨칼국수도룡점,4.4 (42명),"칼국수,물총칼국수"
